Material,EC_factor_kgCO2e_per_m3,Density_kg_per_m3,Source
Medcem Cement 35,780,3150,"Medcem Cameroon CPJ 35 / CEM 35 class cement"
Mira Cement 42.5R,820,3150,"MIRA CO CEM II 42.5R sold across the Cameroon market"
CIMPOR Cement 42.5R,820,3150,"CIMPOR Cameroon 42.5R cement sold from Kribi operations"
CIMPOR Cement 32.5,780,3150,"CIMPOR Powercem 32.5 cement launched in Cameroon"
Steel,14000,7850,"Imported structural steel (Nigeria/Turkey/China avg), ~1.78 kgCO2e/kg"
Structural Steel,14000,7850,Imported structural steel
Rebar,13500,7850,"Imported rebar (Nigeria/Turkey EAF mix), ~1.72 kgCO2e/kg"
Reinforcement,13500,7850,Imported reinforcement bar
Aluminium,22000,2700,Imported aluminium profiles (world avg + sea freight to Douala)
Glass,1600,2500,Imported flat glass (Egypt/Turkey origin) + transport
Tropical Hardwood,250,700,"Cameroon tropical hardwood (Iroko/Sapele/Ayous); local sawmill; no biogenic credit"
Iroko,260,650,Cameroon Iroko - local sawmill
Sapele,260,640,Cameroon Sapele - local sawmill
Ayous,210,380,Cameroon Ayous (Obeche) - local sawmill (low density)
Hardwood,250,700,Cameroon tropical hardwood
Softwood,350,500,Imported pine / softwood (limited local production)
Timber,250,700,Cameroon tropical hardwood (default)
Glulam,600,470,Imported glulam (no local production)
CLT,550,470,Imported CLT (no local production)
Brick,720,1700,Cameroon fired clay brick (artisanal wood-fired kilns dominate)
Fired Clay Brick,720,1700,Cameroon artisanal fired clay brick
Blockwork,200,1400,Cameroon hollow concrete block (parpaing) - dominant wall material
Hollow Concrete Block,200,1400,Cameroon hollow concrete block (parpaing)
Concrete Block,200,1400,Cameroon concrete block
Masonry,200,1400,Cameroon masonry (default hollow concrete block)
Concrete Masonry Units,200,1400,Cameroon CMU - hollow concrete block (parpaing)
CMU,200,1400,Cameroon CMU - hollow concrete block
Compressed Earth Block,100,1800,Cameroon CEB / BTC (stabilised with 5-8% CIMENCAM cement)
CEB,100,1800,Cameroon compressed earth block
Earth Block,90,1800,Cameroon stabilised earth block
Laterite Block,55,1900,Cameroon laterite block (locally quarried)
Rammed Earth,70,1900,Cameroon rammed earth (5% cement stabilised)
Mud Brick,40,1700,Cameroon traditional mud / adobe brick (sun-dried)
Adobe,40,1700,Cameroon adobe / sun-dried earth brick
Plasterboard,340,800,Imported plasterboard via Douala port
Gypsum Wall Board,340,800,Imported gypsum wallboard (Revit default name)
Gypsum Board,340,800,Imported gypsum wallboard
Plaster,360,950,Imported gypsum plaster
Insulation,800,30,Imported mineral wool (rarely used in Cameroon residential)
Polystyrene,1200,25,Imported EPS insulation
Tile,830,2000,Imported ceramic tile (Spain/Italy/China) + transport
Bitumen,310,1100,Imported bitumen for roofing / waterproofing
Micro-Concrete Roofing Tile,650,2200,Micro-concrete roofing tile used in Cameroon housing
Concrete Roof Tile,650,2200,Concrete roofing tile
Galvanized Steel Sheet,15000,7850,Roofing or cladding sheet common in Cameroon construction
Aluzinc Sheet,15000,7850,Aluzinc roofing sheet manufactured and sold in Cameroon
Roofing Sheet,15000,7850,Default Cameroon metal roofing sheet
Metal Roofing,15000,7850,Default Cameroon metal roof cladding
Aluminium Roofing Sheet,22000,2700,Aluminium roofing sheet sold in Cameroon
Asphalt,140,2400,Cameroon road asphalt mix
Sand,8,1600,Cameroon river sand (local aggregate)
Gravel,9,1700,Cameroon crushed stone / gravel
Stone,80,2600,Cameroon dimension stone
PVC,3200,1400,Imported PVC pipes / profiles
Copper,30000,8900,Imported copper (electrical / plumbing)
Paint,1900,1300,Imported architectural paint
Unknown,500,2000,Fallback - verify material mapping
Composite,500,2000,Fallback for unresolved composite assemblies
Msonry,200,1400,Alias for Masonry (typo seen in Revit families); Cameroon hollow concrete block
